model,R2_train,MAE_train,MAPE_train,RMSE_train,R2_test,MAE_test,MAPE_test,RMSE_test
Linear Regression,0.422,22.901,34.682,30.511,0.547,19.912,37.043,27.923
Support Vector Regression,0.852,10.862,14.657,15.414,0.869,11.108,17.472,15.031
Random Forest,0.988,2.983,4.116,4.48,0.947,6.802,10.183,9.509
LightGBM,0.993,2.202,3.125,3.265,0.97,5.195,7.64,7.195
XGBoost,0.99,2.511,3.33,3.936,0.974,4.694,6.964,6.742
