Feature Values,Partial Dependence Values
225.2,80.94906170307794
494.0,80.55143414707877
499.8,80.735567269332
543.0,80.8893847249453
544.8,80.08321850090319
573.8,80.24362655943568
620.0,80.2723501560023
642.0,80.54437352368087
648.2,80.50042271287452
670.0,78.72970376576995
697.0,78.7510544241503
747.9,71.48246385941944
804.0,76.82201756776244
844.0,88.48574634859398
879.0,88.23642901130067
907.9,87.93601907405015
933.1,88.98147412190323
947.0,89.83404225203469
972.4,89.83404225203469
1021.0,90.51169654729262
1055.0,99.72224097622714
1140.8,99.18230897550964
1141.9,100.69967463210364
1162.9,98.56210072706415
1207.3,85.08158452727471
1274.8,85.05920425566538
1301.6,86.28806715226017
1317.4,87.47375931638187
1398.2,87.54478718343876
1410.0,87.63621225009209
1454.0,87.45925661433104
1500.0,87.32613364763924
1530.9,89.68438370996239
1546.1,88.42922762972326
1624.0,88.42922762972326
1640.1,86.81105416144128
1644.0,81.89146878153407
1655.0,83.47094132592261
1666.8,90.45150264910967
1667.3,90.56890483463947
1685.0,95.18366062046307
1687.1,95.5511054081229
1770.0,98.05655964385203
1777.0,96.81318027499866
1781.0,96.80343429076109
1843.0,98.34651940597585
1886.0,95.58504545108376
1949.0,95.53684085919615
2186.0,95.53684085919615
2228.0,94.88813236399285
2276.0,94.46176462526131
2290.0,92.90664420252399
2295.3,92.75158968545
2330.9,92.73977733707711
2353.0,92.81098560027985
2370.0,96.81603665142026
2465.9,96.81812245069241
2511.0,96.15194524397336
2691.3,95.330590079704
2702.3,96.11995325262417
2993.2,96.34388259308002
3139.2,96.79715410682068
3166.0,95.0916767006903
3224.9,97.4698373347556
3252.6,98.19852357977474
3292.0,98.32153656600454
3407.6,102.4254036274286
3415.3,101.03045609851944
3518.0,102.44809515676064
3553.1,104.12792839550025
