Feature Values,Partial Dependence Values
0.0,68.47784377483833
6.52,68.3547790521079
9.2,74.05505561776292
9.507,74.06514826101241
9.719,74.05318902593616
9.947,74.49132639790162
10.685,75.14438416635718
10.843,86.59718767216579
11.111,87.36175091903897
11.199,87.22639279466893
14.563,87.3418547507397
15.116,87.34008384489908
15.517,87.74929769075759
15.995,91.96320481706279
18.872,91.88636331569639
19.337,94.39831370319908
20.488,94.18329056598071
20.93,94.18716669737478
20.962,94.69838396278229
21.687,94.77262758157573
22.902,95.01227713894772
26.654,97.91345719519686
28.987,99.25731326230816
29.391,94.96173459057403
30.909,94.9263225363161
32.624,94.37776999941536
32.768,94.2802533450609
36.842,96.43848366300502
37.85,94.5595724177271
38.542,94.51023465219444
40.0,93.66632729019756
43.779,92.20996511010738
45.808,92.21724130714027
48.187,92.26792443916426
50.0,90.55788259846976
51.765,90.55788259846976
52.846,90.46431890787743
53.216,90.1192393239392
53.341,90.17279953654742
55.747,90.18286053332909
55.828,90.30734285342865
57.083,88.8643404702975
57.627,94.10627683276002
57.692,93.85008839971773
59.722,93.7630080256717
59.813,90.75211500892438
60.626,90.72486067730702
62.189,90.92399482266676
62.963,91.48190655811729
63.636,91.74339823952315
65.251,91.5002061036666
67.0,91.50592621311267
67.089,91.32450860427421
67.973,91.64977178816822
69.231,91.29264891328178
69.481,91.13062402908125
70.909,88.74175845918134
70.968,88.87771877301837
71.506,89.76415602741065
71.605,89.82423464564343
77.37,91.18393132951638
77.555,91.24258860625227
77.707,91.15057083794738
80.996,91.16035201890178
81.32,88.68815779633663
88.172,85.38708658654869
92.012,84.60006757762955
93.986,83.07763342324077
94.937,83.07763342324077
95.446,83.51271897391634
