O,N,SSA,PV,RMIC,Dap,ID/IG,Anion,CD,Cs
8.0,8.12,1685.0,1.2,18.872,2.85,0.85,1,2.0,117.0
20.61,3.95,544.8,0.26,95.446,1.91,0.96,0,3.0,48.0
10.8,5.7,1454.0,0.83,10.843,2.28,1.05,0,2.0,72.2
18.75,2.74,3518.0,1.57,77.707,1.79,1.102,0,10.0,98.9
8.0,8.12,1685.0,1.2,18.872,2.85,0.85,1,10.0,95.5
1.91,2.99,2330.9,2.756,9.507,4.73,1.24,1,1.0,115.3
3.9,9.7,844.0,0.41,77.37,1.94,0.99,0,10.0,100.3
8.35,2.41,2511.0,2.17,43.779,3.46,2.07,1,50.0,99.9
12.89,3.05,3224.9,1.93,48.187,2.39,0.94,0,2.0,150.8
6.1,7.2,1843.0,1.1,30.909,2.39,1.01,0,15.0,104.0
15.17,1.8,225.2,0.1,92.012,1.81,1.08,0,3.0,19.7
18.15,3.51,648.2,0.32,94.937,1.97,1.01,0,3.0,59.2
14.9,3.1,620.0,0.86,15.116,3.66,0.962,0,100.0,35.4
8.35,2.41,2511.0,2.17,43.779,3.46,2.07,1,1.0,138.4
6.2,1.6,2691.3,1.77,32.768,2.63,1.088,0,0.5,133.8
8.35,2.41,2511.0,2.17,43.779,3.46,2.07,1,10.0,116.7
9.64,3.44,1624.0,0.918,65.251,2.26,0.999,0,20.0,81.1
6.98,2.3,2353.0,2.14,37.85,3.64,2.18,1,20.0,81.6
8.21,0.0,747.9,0.6,40.0,3.19,0.93,0,3.0,13.1
15.55,2.61,3139.2,1.74,55.747,2.22,1.02,0,4.0,109.3
10.45,2.44,2993.2,1.71,53.216,2.29,0.91,0,10.0,104.5
9.3,0.0,1781.0,0.784,53.341,1.76,1.18,0,7.0,72.0
10.8,5.7,1454.0,0.83,10.843,2.28,1.05,0,15.0,45.1
18.75,2.74,3518.0,1.57,77.707,1.79,1.102,0,0.1,166.8
18.15,3.51,648.2,0.32,94.937,1.97,1.01,0,0.4,105.4
4.81,1.09,972.4,1.67,22.902,6.87,0.82,0,20.0,52.1
10.8,5.7,1454.0,0.83,10.843,2.28,1.05,0,10.0,50.9
4.8,1.3,2186.0,1.0,67.0,1.83,1.02,0,10.0,72.9
2.05,4.25,1141.9,0.575,77.555,2.01,1.08,1,20.0,89.2
7.21,3.67,1777.0,1.56,57.692,3.51,2.0,1,20.0,72.3
8.35,2.41,2511.0,2.17,43.779,3.46,2.07,1,0.5,149.1
7.21,3.67,1777.0,1.56,57.692,3.51,2.0,1,0.5,101.3
4.81,1.09,972.4,1.67,22.902,6.87,0.82,0,5.0,68.5
7.15,3.52,1546.1,0.575,93.986,1.49,1.029,0,0.1,85.0
6.8,0.0,1410.0,0.77,63.636,2.19,1.09,0,100.0,61.8
8.21,0.0,747.9,0.6,40.0,3.19,0.93,0,0.5,18.1
11.5,6.7,642.0,1.03,14.563,3.73,0.964,0,10.0,56.6
15.17,1.8,225.2,0.1,92.012,1.81,1.08,0,1.0,34.5
14.9,3.1,620.0,0.86,15.116,3.66,0.962,0,0.1,104.4
8.2,5.3,879.0,0.447,60.626,2.03,2.27,0,0.5,110.9
15.55,2.61,3139.2,1.74,55.747,2.22,1.02,0,70.0,66.9
6.8,0.0,1410.0,0.77,63.636,2.19,1.09,0,2.0,102.2
5.12,0.0,907.9,0.68,40.0,3.0,0.89,0,0.3,72.9
8.2,0.0,1500.0,0.78,69.231,2.1,1.01,0,50.0,44.9
8.8,0.93,1207.3,0.55,70.909,1.8,1.05,0,10.0,39.4
3.55,7.37,933.1,0.38,81.32,1.63,1.09,1,5.0,97.8
7.41,0.53,1398.2,0.79,67.089,2.27,0.7,0,0.5,84.0
7.83,0.0,573.8,0.92,6.52,6.4,0.91,0,0.1,34.8
6.93,1.98,3415.3,2.482,15.995,2.91,2.82,0,0.5,169.3
