O,N,SSA,PV,RMIC,Dap,ID/IG,Anion,CD,Cs
15.17,1.8,225.2,0.1,92.012,1.81,1.08,0,1,34.5
15.17,1.8,225.2,0.1,92.012,1.81,1.08,0,2,24.5
15.17,1.8,225.2,0.1,92.012,1.81,1.08,0,3,19.7
15.17,1.8,225.2,0.1,92.012,1.81,1.08,0,4,17
11.92,0,2228,1.07,59.813,1.92,1.5,0,0.2,153
11.92,0,2228,1.07,59.813,1.92,1.5,0,0.5,125
11.92,0,2228,1.07,59.813,1.92,1.5,0,1,110
11.92,0,2228,1.07,59.813,1.92,1.5,0,2,98
11.92,0,2228,1.07,59.813,1.92,1.5,0,5,84
11.92,0,2228,1.07,59.813,1.92,1.5,0,10,75
5.5,2.53,947,0.54,50,2.27,0.855,0,0.5,117.9
5.5,2.53,947,0.54,50,2.27,0.855,0,20,71
9.64,3.44,1624,0.918,65.251,2.26,0.999,0,0.1,119.9
9.64,3.44,1624,0.918,65.251,2.26,0.999,0,0.2,108.3
9.64,3.44,1624,0.918,65.251,2.26,0.999,0,0.5,100.2
9.64,3.44,1624,0.918,65.251,2.26,0.999,0,1,94.6
9.64,3.44,1624,0.918,65.251,2.26,0.999,0,2,90.4
9.64,3.44,1624,0.918,65.251,2.26,0.999,0,5,84.8
9.64,3.44,1624,0.918,65.251,2.26,0.999,0,20,81.1
8.42,1.64,1949,1.133,45.808,2.33,0.917,0,0.1,159.9
8.42,1.64,1949,1.133,45.808,2.33,0.917,0,0.2,139.2
8.42,1.64,1949,1.133,45.808,2.33,0.917,0,0.5,124.8
8.42,1.64,1949,1.133,45.808,2.33,0.917,0,1,116
8.42,1.64,1949,1.133,45.808,2.33,0.917,0,2,109.9
8.42,1.64,1949,1.133,45.808,2.33,0.917,0,5,101.9
8.42,1.64,1949,1.133,45.808,2.33,0.917,0,20,94
5.52,0.89,2276,1.331,20.962,2.34,0.872,0,0.1,114.2
5.52,0.89,2276,1.331,20.962,2.34,0.872,0,0.2,104.8
5.52,0.89,2276,1.331,20.962,2.34,0.872,0,0.5,95.6
5.52,0.89,2276,1.331,20.962,2.34,0.872,0,1,90
5.52,0.89,2276,1.331,20.962,2.34,0.872,0,2,86.8
5.52,0.89,2276,1.331,20.962,2.34,0.872,0,5,82.4
5.52,0.89,2276,1.331,20.962,2.34,0.872,0,20,78.5
7.71,0,804,0.315,62.189,1.57,0.97,0,0.5,48.3
7.71,0,804,0.315,62.189,1.57,0.97,0,1,43.4
7.71,0,804,0.315,62.189,1.57,0.97,0,2,38.9
7.71,0,804,0.315,62.189,1.57,0.97,0,3,36.5
7.71,0,804,0.315,62.189,1.57,0.97,0,4,34.8
7.71,0,804,0.315,62.189,1.57,0.97,0,5,33.2
7.71,0,804,0.315,62.189,1.57,0.97,0,7,30.2
7.71,0,804,0.315,62.189,1.57,0.97,0,10,26.7
7.71,0,804,0.315,62.189,1.57,0.97,0,15,24.7
7.71,0,804,0.315,62.189,1.57,0.97,0,20,21.6
8.06,0,1770,0.721,57.627,1.63,1.1,0,0.5,177.7
8.06,0,1770,0.721,57.627,1.63,1.1,0,1,148.5
8.06,0,1770,0.721,57.627,1.63,1.1,0,2,135.5
8.06,0,1770,0.721,57.627,1.63,1.1,0,3,127.9
8.06,0,1770,0.721,57.627,1.63,1.1,0,4,122.1
8.06,0,1770,0.721,57.627,1.63,1.1,0,5,117
8.06,0,1770,0.721,57.627,1.63,1.1,0,7,107.5
8.06,0,1770,0.721,57.627,1.63,1.1,0,10,102.9
8.06,0,1770,0.721,57.627,1.63,1.1,0,15,91.3
8.06,0,1770,0.721,57.627,1.63,1.1,0,20,85.5
9.3,0,1781,0.784,53.341,1.76,1.18,0,0.5,108.2
9.3,0,1781,0.784,53.341,1.76,1.18,0,1,96.6
9.3,0,1781,0.784,53.341,1.76,1.18,0,2,86.9
9.3,0,1781,0.784,53.341,1.76,1.18,0,3,82
9.3,0,1781,0.784,53.341,1.76,1.18,0,4,78.7
9.3,0,1781,0.784,53.341,1.76,1.18,0,5,75.2
9.3,0,1781,0.784,53.341,1.76,1.18,0,7,72
9.3,0,1781,0.784,53.341,1.76,1.18,0,10,67.1
9.3,0,1781,0.784,53.341,1.76,1.18,0,15,60.5
9.3,0,1781,0.784,53.341,1.76,1.18,0,20,57
6.99,1.59,2465.9,1.29,0,2.09,0.912,0,0.05,108.5
6.99,1.59,2465.9,1.29,0,2.09,0.912,0,0.1,85.9
6.99,1.59,2465.9,1.29,0,2.09,0.912,0,0.2,73.1
6.99,1.59,2465.9,1.29,0,2.09,0.912,0,0.3,68.7
6.99,1.59,2465.9,1.29,0,2.09,0.912,0,0.5,65
6.99,1.59,2465.9,1.29,0,2.09,0.912,0,1,60.8
6.99,1.59,2465.9,1.29,0,2.09,0.912,0,2,55.3
6.99,1.59,2465.9,1.29,0,2.09,0.912,0,3,52.7
6.99,1.59,2465.9,1.29,0,2.09,0.912,0,5,49.2
6.99,1.59,2465.9,1.29,0,2.09,0.912,0,10,44.5
6.99,1.59,2465.9,1.29,0,2.09,0.912,0,15,41.6
6.99,1.59,2465.9,1.29,0,2.09,0.912,0,20,41
