O,N,B,S,P,SSA,PV,RMIC,Dap,ID/IG,M,Anion,CC,AML,PW,CD,Cs
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.3262411347517731,7.91,0.95,2,SO4,nickel foam,2.0,1.6,5.0,62.4
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.3262411347517731,7.91,0.95,2,SO4,nickel foam,2.0,1.6,10.0,59.5
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.3262411347517731,7.91,0.95,2,SO4,nickel foam,2.0,1.6,15.0,58.4
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.3262411347517731,7.91,0.95,2,SO4,nickel foam,2.0,1.6,20.0,57.1
11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.14563106796116504,3.73,0.964,1,SO4,stainless-steel mesh,2.0,1.6,0.1,133.7
11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.14563106796116504,3.73,0.964,1,SO4,stainless-steel mesh,2.0,1.6,0.2,102.5
11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.14563106796116504,3.73,0.964,1,SO4,stainless-steel mesh,2.0,1.6,0.5,84.3
11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.14563106796116504,3.73,0.964,1,SO4,stainless-steel mesh,2.0,1.6,1.0,75.0
11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.14563106796116504,3.73,0.964,1,SO4,stainless-steel mesh,2.0,1.6,2.0,69.1
11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.14563106796116504,3.73,0.964,1,SO4,stainless-steel mesh,2.0,1.6,5.0,61.7
11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.14563106796116504,3.73,0.964,1,SO4,stainless-steel mesh,2.0,1.6,10.0,56.6
11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.14563106796116504,3.73,0.964,1,SO4,stainless-steel mesh,2.0,1.6,20.0,51.9
11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.14563106796116504,3.73,0.964,1,SO4,stainless-steel mesh,2.0,1.6,50.0,45.6
11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.14563106796116504,3.73,0.964,1,SO4,stainless-steel mesh,2.0,1.6,100.0,39.7
11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.14563106796116504,3.73,0.964,1,SO4,stainless-steel mesh,2.0,1.6,200.0,30.6
14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.15116279069767444,3.66,0.962,1,SO4,stainless-steel mesh,2.0,1.6,0.1,104.4
14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.15116279069767444,3.66,0.962,1,SO4,stainless-steel mesh,2.0,1.6,0.2,83.0
14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.15116279069767444,3.66,0.962,1,SO4,stainless-steel mesh,2.0,1.6,0.5,69.7
14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.15116279069767444,3.66,0.962,1,SO4,stainless-steel mesh,2.0,1.6,1.0,61.7
14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.15116279069767444,3.66,0.962,1,SO4,stainless-steel mesh,2.0,1.6,2.0,56.0
14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.15116279069767444,3.66,0.962,1,SO4,stainless-steel mesh,2.0,1.6,5.0,50.4
14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.15116279069767444,3.66,0.962,1,SO4,stainless-steel mesh,2.0,1.6,10.0,46.6
14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.15116279069767444,3.66,0.962,1,SO4,stainless-steel mesh,2.0,1.6,20.0,43.7
14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.15116279069767444,3.66,0.962,1,SO4,stainless-steel mesh,2.0,1.6,50.0,39.1
14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.15116279069767444,3.66,0.962,1,SO4,stainless-steel mesh,2.0,1.6,100.0,35.4
14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.15116279069767444,3.66,0.962,1,SO4,stainless-steel mesh,2.0,1.6,200.0,30.4
11.2,4.2,0.0,0.0,0.0,697.0,0.83,0.21686746987951808,3.21,0.958,1,SO4,stainless-steel mesh,2.0,1.6,0.1,92.4
11.2,4.2,0.0,0.0,0.0,697.0,0.83,0.21686746987951808,3.21,0.958,1,SO4,stainless-steel mesh,2.0,1.6,0.2,73.1
11.2,4.2,0.0,0.0,0.0,697.0,0.83,0.21686746987951808,3.21,0.958,1,SO4,stainless-steel mesh,2.0,1.6,0.5,62.4
11.2,4.2,0.0,0.0,0.0,697.0,0.83,0.21686746987951808,3.21,0.958,1,SO4,stainless-steel mesh,2.0,1.6,1.0,56.0
11.2,4.2,0.0,0.0,0.0,697.0,0.83,0.21686746987951808,3.21,0.958,1,SO4,stainless-steel mesh,2.0,1.6,2.0,51.3
11.2,4.2,0.0,0.0,0.0,697.0,0.83,0.21686746987951808,3.21,0.958,1,SO4,stainless-steel mesh,2.0,1.6,5.0,45.7
11.2,4.2,0.0,0.0,0.0,697.0,0.83,0.21686746987951808,3.21,0.958,1,SO4,stainless-steel mesh,2.0,1.6,10.0,42.3
11.2,4.2,0.0,0.0,0.0,697.0,0.83,0.21686746987951808,3.21,0.958,1,SO4,stainless-steel mesh,2.0,1.6,20.0,38.9
11.2,4.2,0.0,0.0,0.0,697.0,0.83,0.21686746987951808,3.21,0.958,1,SO4,stainless-steel mesh,2.0,1.6,50.0,33.3
