PV,RMIC,Partial Dependence
1.29,9.506531204644414,83.50083
1.331,9.506531204644414,84.16741
1.384,9.506531204644414,84.41691
1.41,9.506531204644414,84.452354
1.54,9.506531204644414,84.4842
1.56,9.506531204644414,84.460976
1.57,9.506531204644414,85.412094
1.63,9.506531204644414,85.38765
1.67,9.506531204644414,84.93977
1.7,9.506531204644414,84.74875
1.71,9.506531204644414,84.917206
1.74,9.506531204644414,85.625374
1.75,9.506531204644414,87.43765
1.77,9.506531204644414,88.12217
1.81,9.506531204644414,89.413216
1.93,9.506531204644414,89.52447
1.953,9.506531204644414,90.0335
2.071,9.506531204644414,91.245995
2.14,9.506531204644414,90.71078
2.17,9.506531204644414,91.75408
2.18,9.506531204644414,93.36065
2.42,9.506531204644414,93.29427
2.482,9.506531204644414,91.29123
2.756,9.506531204644414,89.86451
3.04,9.506531204644414,88.89005
3.428,9.506531204644414,88.89005
0.1,9.71880762138906,78.125015
0.26,9.71880762138906,78.125015
0.27,9.71880762138906,78.248825
0.315,9.71880762138906,78.69671
0.32,9.71880762138906,79.411476
0.38,9.71880762138906,79.44105
0.41,9.71880762138906,79.43696
0.447,9.71880762138906,79.56302
0.448,9.71880762138906,79.77993
0.5043,9.71880762138906,80.01634
0.54,9.71880762138906,79.96073
0.55,9.71880762138906,79.91676
0.551,9.71880762138906,81.88704
0.575,9.71880762138906,82.235
0.5753,9.71880762138906,82.01556
0.58,9.71880762138906,82.38418
0.72,9.71880762138906,82.354965
0.721,9.71880762138906,83.262215
0.77,9.71880762138906,83.27237
0.78,9.71880762138906,79.705315
0.784,9.71880762138906,79.51192
0.79,9.71880762138906,79.30335
0.81,9.71880762138906,79.10893
0.83,9.71880762138906,79.081024
0.86,9.71880762138906,79.47909
0.9,9.71880762138906,80.0846
0.918,9.71880762138906,81.79076
0.93,9.71880762138906,82.09989
0.95,9.71880762138906,82.00704
0.96,9.71880762138906,81.84303
1.0,9.71880762138906,83.682304
1.03,9.71880762138906,83.65763
1.07,9.71880762138906,83.81037
1.1,9.71880762138906,83.83752
1.133,9.71880762138906,83.87122
1.2,9.71880762138906,83.44904
1.23,9.71880762138906,83.48887
1.29,9.71880762138906,83.51014
1.331,9.71880762138906,84.17673
1.384,9.71880762138906,84.42622
1.41,9.71880762138906,84.46166
1.54,9.71880762138906,84.49349
1.56,9.71880762138906,84.47028
1.57,9.71880762138906,85.4214
1.63,9.71880762138906,85.39695
1.67,9.71880762138906,84.94908
1.7,9.71880762138906,84.75806
1.71,9.71880762138906,84.926506
1.74,9.71880762138906,85.63468
1.75,9.71880762138906,87.44697
1.77,9.71880762138906,88.13147
1.81,9.71880762138906,89.42251
1.93,9.71880762138906,89.533775
1.953,9.71880762138906,90.042816
2.071,9.71880762138906,91.2553
2.14,9.71880762138906,90.72008
2.17,9.71880762138906,91.7634
2.18,9.71880762138906,93.36996
2.42,9.71880762138906,93.30358
2.482,9.71880762138906,91.30052
2.756,9.71880762138906,89.87381
3.04,9.71880762138906,88.899345
3.428,9.71880762138906,88.899345
0.1,9.947491248541423,79.56253
0.26,9.947491248541423,79.56253
0.27,9.947491248541423,79.68635
0.315,9.947491248541423,80.13423
0.32,9.947491248541423,80.84898
0.38,9.947491248541423,80.87856
0.41,9.947491248541423,80.874466
0.447,9.947491248541423,81.00052
0.448,9.947491248541423,81.21744
0.5043,9.947491248541423,81.45385
0.54,9.947491248541423,81.39824
0.55,9.947491248541423,81.35427
0.551,9.947491248541423,83.32455
0.575,9.947491248541423,83.6278
0.5753,9.947491248541423,83.40836
0.58,9.947491248541423,83.776985
0.72,9.947491248541423,83.620186
0.721,9.947491248541423,84.52745
0.77,9.947491248541423,84.5376
0.78,9.947491248541423,80.97054
0.784,9.947491248541423,80.77714
0.79,9.947491248541423,80.56859
0.81,9.947491248541423,80.37417
0.83,9.947491248541423,80.34626
0.86,9.947491248541423,80.744316
0.9,9.947491248541423,81.34982
0.918,9.947491248541423,83.05599
0.93,9.947491248541423,83.36512
0.95,9.947491248541423,83.272255
0.96,9.947491248541423,83.10827
1.0,9.947491248541423,84.94753
1.03,9.947491248541423,84.92285
1.07,9.947491248541423,85.14173
1.1,9.947491248541423,85.16888
1.133,9.947491248541423,85.20259
1.2,9.947491248541423,84.7804
1.23,9.947491248541423,84.82023
1.29,9.947491248541423,84.84151
1.331,9.947491248541423,85.50809
1.384,9.947491248541423,85.757576
1.41,9.947491248541423,85.793015
1.54,9.947491248541423,85.82485
1.56,9.947491248541423,85.80342
1.57,9.947491248541423,86.75454
1.63,9.947491248541423,86.730095
1.67,9.947491248541423,86.28222
1.7,9.947491248541423,86.091194
1.71,9.947491248541423,86.25965
1.74,9.947491248541423,86.96782
1.75,9.947491248541423,88.723564
1.77,9.947491248541423,89.40807
1.81,9.947491248541423,91.09155
1.93,9.947491248541423,91.20281
1.953,9.947491248541423,91.6405
2.071,9.947491248541423,92.853
2.14,9.947491248541423,91.9642
2.17,9.947491248541423,93.00752
2.18,9.947491248541423,94.61408
2.42,9.947491248541423,94.54771
2.482,9.947491248541423,92.544655
2.756,9.947491248541423,91.11794
3.04,9.947491248541423,90.14347
3.428,9.947491248541423,90.14347
0.1,10.68514518838493,80.21777
0.26,10.68514518838493,80.21777
0.27,10.68514518838493,80.34158
0.315,10.68514518838493,80.78947
0.32,10.68514518838493,81.504234
0.38,10.68514518838493,81.533806
0.41,10.68514518838493,81.52971
0.447,10.68514518838493,81.65577
0.448,10.68514518838493,81.87268
0.5043,10.68514518838493,82.109085
0.54,10.68514518838493,82.05348
0.55,10.68514518838493,81.86764
0.551,10.68514518838493,83.837906
0.575,10.68514518838493,84.14116
0.5753,10.68514518838493,83.92173
0.58,10.68514518838493,84.29036
0.72,10.68514518838493,84.133545
0.721,10.68514518838493,85.0408
0.77,10.68514518838493,85.05096
0.78,10.68514518838493,81.4839
0.784,10.68514518838493,81.2905
0.79,10.68514518838493,81.08194
0.81,10.68514518838493,80.88753
0.83,10.68514518838493,80.859604
0.86,10.68514518838493,81.257675
0.9,10.68514518838493,81.86319
0.918,10.68514518838493,83.56935
0.93,10.68514518838493,83.87849
0.95,10.68514518838493,84.68651
0.96,10.68514518838493,84.522514
1.0,10.68514518838493,86.4171
1.03,10.68514518838493,86.39242
1.07,10.68514518838493,86.6113
1.1,10.68514518838493,86.63844
1.133,10.68514518838493,86.67214
1.2,10.68514518838493,86.24996
1.23,10.68514518838493,86.28979
1.29,10.68514518838493,86.31106
1.331,10.68514518838493,86.97765
1.384,10.68514518838493,87.22714
1.41,10.68514518838493,87.26259
1.54,10.68514518838493,87.3388
1.56,10.68514518838493,87.28895
1.57,10.68514518838493,88.24007
1.63,10.68514518838493,88.215614
1.67,10.68514518838493,87.76774
1.7,10.68514518838493,87.57673
1.71,10.68514518838493,87.74516
1.74,10.68514518838493,88.453354
1.75,10.68514518838493,90.25965
1.77,10.68514518838493,90.944145
1.81,10.68514518838493,92.90899
1.93,10.68514518838493,92.98897
1.953,10.68514518838493,93.42664
2.071,10.68514518838493,94.63913
2.14,10.68514518838493,94.30441
2.17,10.68514518838493,95.34773
2.18,10.68514518838493,96.9543
2.42,10.68514518838493,96.88792
2.482,10.68514518838493,94.884865
2.756,10.68514518838493,93.45815
3.04,10.68514518838493,92.48369
3.428,10.68514518838493,92.48369
0.1,10.843373493975903,80.34964
0.26,10.843373493975903,80.34964
0.27,10.843373493975903,80.47346
0.315,10.843373493975903,80.92134
0.32,10.843373493975903,81.6361
0.38,10.843373493975903,81.66567
0.41,10.843373493975903,81.661575
0.447,10.843373493975903,81.78764
0.448,10.843373493975903,82.00455
0.5043,10.843373493975903,82.24097
0.54,10.843373493975903,82.18535
0.55,10.843373493975903,81.999504
0.551,10.843373493975903,83.96977
0.575,10.843373493975903,84.27303
0.5753,10.843373493975903,84.0536
0.58,10.843373493975903,84.422226
0.72,10.843373493975903,84.26541
0.721,10.843373493975903,85.172676
0.77,10.843373493975903,85.18283
0.78,10.843373493975903,81.61577
0.784,10.843373493975903,81.42237
0.79,10.843373493975903,81.21382
0.81,10.843373493975903,81.0194
0.83,10.843373493975903,80.991486
0.86,10.843373493975903,81.38955
0.9,10.843373493975903,82.017624
0.918,10.843373493975903,83.72378
0.93,10.843373493975903,84.03292
0.95,10.843373493975903,84.840935
0.96,10.843373493975903,84.67695
1.0,10.843373493975903,86.57153
1.03,10.843373493975903,86.546844
1.07,10.843373493975903,86.765724
1.1,10.843373493975903,86.79287
1.133,10.843373493975903,86.82658
1.2,10.843373493975903,86.404396
1.23,10.843373493975903,86.44422
1.29,10.843373493975903,86.46549
1.331,10.843373493975903,87.13208
1.384,10.843373493975903,87.38157
1.41,10.843373493975903,87.417015
1.54,10.843373493975903,87.49324
1.56,10.843373493975903,87.443375
1.57,10.843373493975903,88.3945
1.63,10.843373493975903,88.37005
1.67,10.843373493975903,87.92217
1.7,10.843373493975903,87.731155
1.71,10.843373493975903,87.89961
1.74,10.843373493975903,88.60778
1.75,10.843373493975903,90.41408
1.77,10.843373493975903,91.09859
1.81,10.843373493975903,93.06343
1.93,10.843373493975903,93.143394
1.953,10.843373493975903,93.58107
2.071,10.843373493975903,94.79357
2.14,10.843373493975903,94.48162
2.17,10.843373493975903,95.52494
2.18,10.843373493975903,97.34258
2.42,10.843373493975903,97.27622
2.482,10.843373493975903,95.27316
2.756,10.843373493975903,93.84645
3.04,10.843373493975903,92.87199
3.428,10.843373493975903,92.87199
0.1,11.111111111111112,80.446556
0.26,11.111111111111112,80.446556
0.27,11.111111111111112,80.570366
0.315,11.111111111111112,81.01826
0.32,11.111111111111112,81.73301
0.38,11.111111111111112,81.76258
0.41,11.111111111111112,81.75849
0.447,11.111111111111112,81.88455
0.448,11.111111111111112,82.10146
0.5043,11.111111111111112,82.337875
0.54,11.111111111111112,82.28226
0.55,11.111111111111112,82.09642
0.551,11.111111111111112,84.06669
0.575,11.111111111111112,84.34184
0.5753,11.111111111111112,84.122406
0.58,11.111111111111112,84.491035
0.72,11.111111111111112,84.33422
0.721,11.111111111111112,85.241486
0.77,11.111111111111112,85.25163
0.78,11.111111111111112,81.68457
0.784,11.111111111111112,81.49118
0.79,11.111111111111112,81.282616
0.81,11.111111111111112,81.0882
0.83,11.111111111111112,81.06029
0.86,11.111111111111112,81.45835
0.9,11.111111111111112,82.086426
0.918,11.111111111111112,83.74924
0.93,11.111111111111112,84.05837
0.95,11.111111111111112,84.8664
0.96,11.111111111111112,84.70239
1.0,11.111111111111112,86.59698
1.03,11.111111111111112,86.572296
1.07,11.111111111111112,86.791176
1.1,11.111111111111112,86.81833
1.133,11.111111111111112,86.85203
1.2,11.111111111111112,86.42984
1.23,11.111111111111112,86.46968
1.29,11.111111111111112,86.490944
1.331,11.111111111111112,87.15754
1.384,11.111111111111112,87.40701
1.41,11.111111111111112,87.44247
1.54,11.111111111111112,87.518684
1.56,11.111111111111112,87.468834
1.57,11.111111111111112,88.41995
1.63,11.111111111111112,88.3955
1.67,11.111111111111112,87.947624
1.7,11.111111111111112,87.75661
1.71,11.111111111111112,87.92505
1.74,11.111111111111112,88.63323
1.75,11.111111111111112,90.43954
1.77,11.111111111111112,91.12404
1.81,11.111111111111112,93.088875
1.93,11.111111111111112,93.16884
1.953,11.111111111111112,93.60653
2.071,11.111111111111112,94.819016
2.14,11.111111111111112,94.64131
2.17,11.111111111111112,95.68464
2.18,11.111111111111112,97.50228
2.42,11.111111111111112,97.435905
2.482,11.111111111111112,95.43285
2.756,11.111111111111112,94.00614
3.04,11.111111111111112,93.03169
3.428,11.111111111111112,93.03169
0.1,11.19942196531792,80.4118
0.26,11.19942196531792,80.4118
0.27,11.19942196531792,80.535614
0.315,11.19942196531792,80.9835
0.32,11.19942196531792,81.69826
0.38,11.19942196531792,81.72783
0.41,11.19942196531792,81.72373
0.447,11.19942196531792,81.8498
0.448,11.19942196531792,82.0667
0.5043,11.19942196531792,82.303116
0.54,11.19942196531792,82.24751
0.55,11.19942196531792,82.06166
0.551,11.19942196531792,84.03194
0.575,11.19942196531792,84.30708
0.5753,11.19942196531792,84.06875
0.58,11.19942196531792,84.417946
0.72,11.19942196531792,84.26113
0.721,11.19942196531792,85.1684
0.77,11.19942196531792,85.17855
0.78,11.19942196531792,81.61149
0.784,11.19942196531792,81.41809
0.79,11.19942196531792,81.20954
0.81,11.19942196531792,81.01512
0.83,11.19942196531792,80.987206
0.86,11.19942196531792,81.406525
0.9,11.19942196531792,82.066864
0.918,11.19942196531792,83.72965
0.93,11.19942196531792,84.038795
0.95,11.19942196531792,84.86572
0.96,11.19942196531792,84.70173
1.0,11.19942196531792,86.596306
1.03,11.19942196531792,86.571625
1.07,11.19942196531792,86.7905
1.1,11.19942196531792,86.81765
1.133,11.19942196531792,86.85135
1.2,11.19942196531792,86.42917
1.23,11.19942196531792,86.468994
1.29,11.19942196531792,86.490265
1.331,11.19942196531792,87.15685
1.384,11.19942196531792,87.40635
1.41,11.19942196531792,87.44179
1.54,11.19942196531792,87.51802
1.56,11.19942196531792,87.468155
1.57,11.19942196531792,88.41927
1.63,11.19942196531792,88.39482
1.67,11.19942196531792,87.94694
1.7,11.19942196531792,87.75593
1.71,11.19942196531792,87.92437
1.74,11.19942196531792,88.63255
1.75,11.19942196531792,90.43885
1.77,11.19942196531792,91.19712
1.81,11.19942196531792,93.161964
1.93,11.19942196531792,93.24193
1.953,11.19942196531792,93.67961
2.071,11.19942196531792,94.892105
2.14,11.19942196531792,94.7144
2.17,11.19942196531792,95.75773
2.18,11.19942196531792,97.57536
2.42,11.19942196531792,97.509
2.482,11.19942196531792,95.47368
2.756,11.19942196531792,94.046974
3.04,11.19942196531792,93.07251
3.428,11.19942196531792,93.07251
0.1,14.563106796116504,80.56909
0.26,14.563106796116504,80.56909
0.27,14.563106796116504,80.6929
0.315,14.563106796116504,81.140785
0.32,14.563106796116504,81.85555
0.38,14.563106796116504,81.885124
0.41,14.563106796116504,81.88102
0.447,14.563106796116504,82.007095
0.448,14.563106796116504,82.224
0.5043,14.563106796116504,82.46041
0.54,14.563106796116504,82.4048
0.55,14.563106796116504,82.21896
0.551,14.563106796116504,84.189224
0.575,14.563106796116504,84.46437
0.5753,14.563106796116504,84.22604
0.58,14.563106796116504,84.57523
0.72,14.563106796116504,84.41843
0.721,14.563106796116504,85.32569
0.77,14.563106796116504,85.33584
0.78,14.563106796116504,81.76878
0.784,14.563106796116504,81.575386
0.79,14.563106796116504,81.36683
0.81,14.563106796116504,81.17241
0.83,14.563106796116504,81.1445
0.86,14.563106796116504,81.56381
0.9,14.563106796116504,82.22415
0.918,14.563106796116504,83.88695
0.93,14.563106796116504,84.19609
0.95,14.563106796116504,85.02302
0.96,14.563106796116504,84.85902
1.0,14.563106796116504,86.75359
1.03,14.563106796116504,86.72891
1.07,14.563106796116504,86.947784
1.1,14.563106796116504,86.974945
1.133,14.563106796116504,87.008644
1.2,14.563106796116504,86.58646
1.23,14.563106796116504,86.62629
1.29,14.563106796116504,86.64756
1.331,14.563106796116504,87.31414
1.384,14.563106796116504,87.56364
1.41,14.563106796116504,87.59908
1.54,14.563106796116504,87.67531
1.56,14.563106796116504,87.62545
1.57,14.563106796116504,88.57656
1.63,14.563106796116504,88.55212
1.67,14.563106796116504,88.10423
1.7,14.563106796116504,87.913216
1.71,14.563106796116504,87.9703
1.74,14.563106796116504,88.678474
1.75,14.563106796116504,90.48478
1.77,14.563106796116504,91.24304
1.81,14.563106796116504,93.20788
1.93,14.563106796116504,93.174065
1.953,14.563106796116504,93.61175
2.071,14.563106796116504,94.85002
2.14,14.563106796116504,94.67233
2.17,14.563106796116504,95.71565
2.18,14.563106796116504,97.53329
2.42,14.563106796116504,97.46691
2.482,14.563106796116504,95.441635
2.756,14.563106796116504,94.01493
3.04,14.563106796116504,93.040474
3.428,14.563106796116504,93.040474
0.1,15.116279069767444,80.508575
0.26,15.116279069767444,80.508575
0.27,15.116279069767444,80.63239
0.315,15.116279069767444,81.08028
0.32,15.116279069767444,81.79504
0.38,15.116279069767444,81.82461
0.41,15.116279069767444,81.82051
0.447,15.116279069767444,81.94657
0.448,15.116279069767444,82.16348
0.5043,15.116279069767444,82.3999
0.54,15.116279069767444,82.344284
0.55,15.116279069767444,82.15844
0.551,15.116279069767444,84.12871
0.575,15.116279069767444,84.403854
0.5753,15.116279069767444,84.165535
0.58,15.116279069767444,84.51472
0.72,15.116279069767444,84.35791
0.721,15.116279069767444,85.26518
0.77,15.116279069767444,85.27532
0.78,15.116279069767444,81.693375
0.784,15.116279069767444,81.49998
0.79,15.116279069767444,81.29142
0.81,15.116279069767444,81.09701
0.83,15.116279069767444,81.06909
0.86,15.116279069767444,81.47184
0.9,15.116279069767444,82.08141
0.918,15.116279069767444,83.74422
0.93,15.116279069767444,84.05335
0.95,15.116279069767444,87.56395
0.96,15.116279069767444,87.39995
1.0,15.116279069767444,89.29454
1.03,15.116279069767444,89.26986
1.07,15.116279069767444,89.48874
1.1,15.116279069767444,89.515884
1.133,15.116279069767444,89.54958
1.2,15.116279069767444,89.1274
1.23,15.116279069767444,88.440346
1.29,15.116279069767444,88.46164
1.331,15.116279069767444,89.12822
1.384,15.116279069767444,89.3777
1.41,15.116279069767444,89.413155
1.54,15.116279069767444,89.48937
1.56,15.116279069767444,89.43952
1.57,15.116279069767444,90.24619
1.63,15.116279069767444,90.22175
1.67,15.116279069767444,89.77387
1.7,15.116279069767444,89.58285
1.71,15.116279069767444,89.59324
1.74,15.116279069767444,90.30141
1.75,15.116279069767444,92.107704
1.77,15.116279069767444,92.865974
1.81,15.116279069767444,94.83082
1.93,15.116279069767444,94.797005
1.953,15.116279069767444,95.23469
2.071,15.116279069767444,96.47297
2.14,15.116279069767444,96.28702
2.17,15.116279069767444,97.33034
2.18,15.116279069767444,99.17002
2.42,15.116279069767444,99.103645
2.482,15.116279069767444,97.07837
2.756,15.116279069767444,95.65166
3.04,15.116279069767444,94.6772
3.428,15.116279069767444,94.6772
0.1,15.517241379310343,82.00161
0.26,15.517241379310343,82.00161
0.27,15.517241379310343,82.125435
0.315,15.517241379310343,82.57331
0.32,15.517241379310343,85.38187
0.38,15.517241379310343,85.41143
0.41,15.517241379310343,85.40734
0.447,15.517241379310343,85.5334
0.448,15.517241379310343,85.75031
0.5043,15.517241379310343,85.98672
0.54,15.517241379310343,85.840546
0.55,15.517241379310343,85.65469
0.551,15.517241379310343,87.62497
0.575,15.517241379310343,87.900116
0.5753,15.517241379310343,87.66179
0.58,15.517241379310343,88.01097
0.72,15.517241379310343,87.854164
0.721,15.517241379310343,88.76144
0.77,15.517241379310343,88.77158
0.78,15.517241379310343,84.76964
0.784,15.517241379310343,84.576225
0.79,15.517241379310343,84.367676
0.81,15.517241379310343,84.173256
0.83,15.517241379310343,84.14535
0.86,15.517241379310343,84.548096
0.9,15.517241379310343,85.17235
0.918,15.517241379310343,86.83516
0.93,15.517241379310343,87.14429
0.95,15.517241379310343,90.654884
0.96,15.517241379310343,90.49088
1.0,15.517241379310343,92.38547
1.03,15.517241379310343,92.360794
1.07,15.517241379310343,92.579666
1.1,15.517241379310343,92.60681
1.133,15.517241379310343,92.64051
1.2,15.517241379310343,92.149734
1.23,15.517241379310343,91.46268
1.29,15.517241379310343,91.48396
1.331,15.517241379310343,92.15054
1.384,15.517241379310343,92.40003
1.41,15.517241379310343,92.43548
1.54,15.517241379310343,92.5117
1.56,15.517241379310343,92.46184
1.57,15.517241379310343,93.268524
1.63,15.517241379310343,93.24407
1.67,15.517241379310343,92.79619
1.7,15.517241379310343,92.60518
1.71,15.517241379310343,92.61556
1.74,15.517241379310343,93.32373
1.75,15.517241379310343,95.130035
1.77,15.517241379310343,95.888306
1.81,15.517241379310343,97.85314
1.93,15.517241379310343,97.81933
1.953,15.517241379310343,98.25701
2.071,15.517241379310343,99.49528
2.14,15.517241379310343,99.30935
2.17,15.517241379310343,100.35267
2.18,15.517241379310343,102.19235
2.42,15.517241379310343,102.12598
2.482,15.517241379310343,100.120636
2.756,15.517241379310343,98.69393
3.04,15.517241379310343,97.71947
3.428,15.517241379310343,97.71947
0.1,15.995165189363416,83.00098
0.26,15.995165189363416,83.00098
0.27,15.995165189363416,83.12479
0.315,15.995165189363416,83.57267
0.32,15.995165189363416,86.38122
0.38,15.995165189363416,86.41079
0.41,15.995165189363416,86.40669
0.447,15.995165189363416,86.532745
0.448,15.995165189363416,86.74966
0.5043,15.995165189363416,86.986084
0.54,15.995165189363416,86.8399
0.55,15.995165189363416,86.65405
0.551,15.995165189363416,88.62432
0.575,15.995165189363416,88.89948
0.5753,15.995165189363416,88.3461
0.58,15.995165189363416,88.6953
0.72,15.995165189363416,88.53849
0.721,15.995165189363416,89.445755
0.77,15.995165189363416,89.4559
0.78,15.995165189363416,85.45395
0.784,15.995165189363416,85.26055
0.79,15.995165189363416,85.052
0.81,15.995165189363416,84.85757
0.83,15.995165189363416,84.82966
0.86,15.995165189363416,85.23241
0.9,15.995165189363416,85.97341
0.918,15.995165189363416,87.636215
0.93,15.995165189363416,87.94535
0.95,15.995165189363416,91.45594
0.96,15.995165189363416,91.291954
1.0,15.995165189363416,93.387566
1.03,15.995165189363416,93.36289
1.07,15.995165189363416,93.581764
1.1,15.995165189363416,93.60892
1.133,15.995165189363416,93.64261
1.2,15.995165189363416,93.15183
1.23,15.995165189363416,92.46479
1.29,15.995165189363416,92.48606
1.331,15.995165189363416,93.15264
1.384,15.995165189363416,93.40213
1.41,15.995165189363416,93.437584
1.54,15.995165189363416,93.5138
1.56,15.995165189363416,93.46395
1.57,15.995165189363416,94.27062
1.63,15.995165189363416,94.24618
1.67,15.995165189363416,93.798294
1.7,15.995165189363416,93.60728
1.71,15.995165189363416,93.99815
1.74,15.995165189363416,94.70633
1.75,15.995165189363416,96.51263
1.77,15.995165189363416,97.2709
1.81,15.995165189363416,99.23574
1.93,15.995165189363416,99.20193
1.953,15.995165189363416,99.63961
2.071,15.995165189363416,100.877884
2.14,15.995165189363416,100.69194
2.17,15.995165189363416,101.73526
2.18,15.995165189363416,103.57494
2.42,15.995165189363416,103.50857
2.482,15.995165189363416,101.50322
2.756,15.995165189363416,100.07653
3.04,15.995165189363416,99.102066
3.428,15.995165189363416,99.102066
0.1,18.87240356083086,83.552925
0.26,18.87240356083086,83.552925
0.27,18.87240356083086,83.67673
0.315,18.87240356083086,84.12462
0.32,18.87240356083086,86.93315
0.38,18.87240356083086,86.96274
0.41,18.87240356083086,86.95864
0.447,18.87240356083086,87.0847
0.448,18.87240356083086,87.30161
0.5043,18.87240356083086,87.53802
0.54,18.87240356083086,87.39185
0.55,18.87240356083086,87.20601
0.551,18.87240356083086,89.17627
0.575,18.87240356083086,89.451416
0.5753,18.87240356083086,88.89805
0.58,18.87240356083086,89.24724
0.72,18.87240356083086,89.09043
0.721,18.87240356083086,89.997696
0.77,18.87240356083086,90.00784
0.78,18.87240356083086,86.00589
0.784,18.87240356083086,85.8125
0.79,18.87240356083086,85.603935
0.81,18.87240356083086,85.40952
0.83,18.87240356083086,85.38161
0.86,18.87240356083086,85.784355
0.9,18.87240356083086,86.52536
0.918,18.87240356083086,88.18816
0.93,18.87240356083086,88.4973
0.95,18.87240356083086,92.0079
