Feature Values,Partial Dependence Values
1.4883901429403017,86.23782
1.5409751483360563,86.23782
1.5671641791044777,86.23782
1.6244541484716155,86.5111
1.6289786732397384,91.03659
1.6293785310734463,91.322685
1.728898650768748,90.34557
1.7608085345311624,89.75127
1.7851051733939738,90.31081
1.8,90.473724
1.81,90.70321
1.83,93.90523
1.871202916160389,93.92946
1.90885230255309,93.98935
1.9210053859964091,94.191284
1.943127962085308,93.76009
1.95,93.78856
1.9746382401036684,93.86443
1.98,93.984505
2.0141868815132677,93.81255
2.034129692832765,93.03571
2.092542276653554,93.24387
2.1,93.204475
2.147820593809223,93.19576
2.1862348178137654,94.391815
2.19,94.7575
2.217125382262997,94.575584
2.2610837438423643,94.80568
2.27,94.58544
2.283356258596974,94.21197
2.2851797407456904,94.94402
2.2925225965488907,95.54037
2.3252950230887635,95.88248
2.331485181953787,94.15636
2.335766423357664,93.68592
2.3391915641476277,94.76682
2.387411828540423,94.87411
2.3938726782225803,94.43192
2.50832843425436,94.52039
2.6307086936004667,94.37217
2.6791992006809013,94.55278
2.8406491667574336,94.12941
2.8486646884273,94.28441
2.906918865107018,94.210976
2.9508255714225737,94.05223
3.015427769985975,93.51102
3.21,93.60817
3.45679012345679,94.09367
3.5115362971299944,94.22712
3.6018957345971563,95.79714
3.613707165109034,95.53482
3.637909052273693,95.40889
3.66,95.51003
3.679324894514768,95.507164
3.73,94.42083
4.04,94.10824
4.149131646019797,94.21019
4.191968658178257,94.31807
4.202216487019888,94.31807
4.215704359589251,94.00895
4.298507462686567,93.97501
4.729503625209147,94.05191
5.807535397168227,93.80477
6.629834254143646,93.34699
6.869600987248046,92.70601
7.91,92.2606
9.342347879532884,92.2606
